state,district,biometric_updates,demographic_updates,new_enrolments,total_updates,assi,district_type,stress_type,bio_ratio,demo_ratio,temporal_status,assi_trend,assi_acceleration,future_mbu_demand,mbu_risk_score,age_18_greater,anomaly_score,security_status,Recommended_Action,Priority,Preparedness_Index,District_Playbook
100000,100000,0.0,2.0,218.0,2.0,0.009174311926605505,Growth Zone,Demographic-dominant Stress,0.0,1.0,Early-warning District,0.003436426116838488,0.005952064630820884,0,0.0,217,1,Normal,Maintain Routine Operations,Normal,98.2,Setup Document Update Camp (Panchayat Level)
Andaman & Nicobar Islands,Andamans,2015.0,750.0,75.0,2765.0,36.86666666666667,Maintenance-heavy Zone,Biometric-dominant Stress,0.72875226039783,0.27124773960216997,Emerging Hotspot,4.469753086419753,10.235490706980752,70,2.5806666666666667,0,1,Normal,Deploy 5+ Iris Scanners,High,57.0,Deploy Iris Scanners (Biometric Failure)
Andaman & Nicobar Islands,Nicobar,1811.0,787.0,75.0,2598.0,34.64,Maintenance-heavy Zone,Biometric-dominant Stress,0.6970746728252502,0.3029253271747498,Emerging Hotspot,16.059101654846334,13.549519774110642,64,2.21696,0,1,Normal,Deploy 5+ Iris Scanners,High,59.3,Deploy Iris Scanners (Biometric Failure)
Andaman & Nicobar Islands,Nicobars,2.0,4.0,1.0,6.0,6.0,Maintenance-heavy Zone,Demographic-dominant Stress,0.3333333333333333,0.6666666666666666,Declining / Stable,,,1,0.006,0,1,Normal,Maintain Routine Operations,Normal,95.5,Setup Document Update Camp (Panchayat Level)
Andaman & Nicobar Islands,North And Middle Andaman,6383.0,2009.0,132.0,8392.0,63.57575757575758,Maintenance-heavy Zone,Biometric-dominant Stress,0.7606053384175405,0.23939466158245948,Early-warning District,0.25,3.0429661553022114,128,8.13769696969697,0,1,Normal,Maintain Routine Operations,High,48.8,Deploy Iris Scanners (Biometric Failure)
Andaman & Nicobar Islands,South Andaman,10487.0,3696.0,228.0,14183.0,62.20614035087719,Maintenance-heavy Zone,Biometric-dominant Stress,0.7394063315236551,0.2605936684763449,Emerging Hotspot,5.573892875262739,6.901300619567743,216,13.436526315789473,0,1,Normal,Deploy 5+ Iris Scanners,High,48.4,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Adilabad,52038.0,29291.0,1419.0,81329.0,57.31430584918957,Maintenance-heavy Zone,Mixed Stress,0.6398455655424264,0.36015443445757356,Emerging Hotspot,35.49340242383056,48.98344197377383,1137,65.16636575052854,1,1,Normal,Maintain Routine Operations,High,45.3,Maintain Routine Operations
Andhra Pradesh,Alluri Sitharama Raju,18607.0,12871.0,1255.0,31478.0,25.08207171314741,Maintenance-heavy Zone,Mixed Stress,0.5911112523031958,0.4088887476968041,Early-warning District,3.6743244515582334,2.1895486589937754,1105,27.71568924302789,34,1,Normal,Maintain Routine Operations,High,65.4,Maintain Routine Operations
Andhra Pradesh,Anakapalli,6723.0,13460.0,543.0,20183.0,37.16942909760589,Maintenance-heavy Zone,Demographic-dominant Stress,0.3331021156418768,0.6668978843581231,Emerging Hotspot,8.774179894179895,15.152638452386883,523,19.439611418047882,8,1,Normal,Activate Mobile Document Centers,High,54.1,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Anantapur,93565.0,68745.0,4415.0,162310.0,36.76330690826727,Maintenance-heavy Zone,Mixed Stress,0.5764586285503049,0.423541371449695,Emerging Hotspot,10.355848483770353,12.020035688539386,4089,150.32516194790486,0,1,Normal,Maintain Routine Operations,High,46.2,Maintain Routine Operations
Andhra Pradesh,Ananthapur,84132.0,30026.0,1994.0,114158.0,57.25075225677031,Maintenance-heavy Zone,Biometric-dominant Stress,0.7369785735559488,0.26302142644405124,Emerging Hotspot,5.946564455505372,9.633065145514607,1843,105.51313640922768,0,1,Normal,Deploy 5+ Iris Scanners,High,44.0,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Ananthapuramu,109602.0,55944.0,3187.0,165546.0,51.944148101663004,Maintenance-heavy Zone,Biometric-dominant Stress,0.6620637164292704,0.3379362835707296,Emerging Hotspot,6.450423218091436,8.692144065190547,3018,156.76743897081894,10,1,Normal,Deploy 5+ Iris Scanners,High,42.3,Deploy Iris Scanners (Biometric Failure)
Andhra Pradesh,Annamayya,9712.0,33634.0,1021.0,43346.0,42.45445641527914,Maintenance-heavy Zone,Demographic-dominant Stress,0.22405758316799704,0.7759424168320029,Emerging Hotspot,5.836469129725344,6.885758951604117,868,36.85046816846229,105,1,Normal,Activate Mobile Document Centers,High,50.1,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Bapatla,5982.0,13514.0,492.0,19496.0,39.6260162601626,Maintenance-heavy Zone,Demographic-dominant Stress,0.3068321707016824,0.6931678292983176,Emerging Hotspot,6.400328864153807,6.589992113625811,421,16.682552845528456,16,1,Normal,Activate Mobile Document Centers,High,53.5,Setup Document Update Camp (Panchayat Level)
Andhra Pradesh,Chittoor,251438.0,169636.0,8199.0,421074.0,51.35675082327113,Maintenance-heavy Zone,Mixed Stress,0.5971349454015209,0.4028650545984791,Emerging Hotspot,7.815082676358069,5.924317543367917,7497,385.02156092206366,43,1,Normal,Pre-position Biometric Kits (MBU Wave Incoming),CRITICAL,36.5,PRE-EMPTIVE: Book School Premises for MBU Camps
Andhra Pradesh,Cuddapah,170796.0,83667.0,5934.0,254463.0,42.882204246713854,Maintenance-heavy Zone,Biometric-dominant Stress,0.671201707124415,0.32879829287558504,Emerging Hotspot,6.900413285524963,7.975690443149507,5519,236.66688523761374,2,1,Normal,"Pre-position Biometric Kits (MBU Wave Incoming), Deploy 5+ Iris Scanners",High,40.5,Deploy Iris Scanners (Biometric Failure)
